"No.","Time","Source","Destination","Protocol","Length","Info"
"30","1.296109","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","108","Standard query 0xd4c7 A 28.client-channel.google.com"
"31","1.297525","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","108","Standard query 0xb9ea AAAA 28.client-channel.google.com"
"34","1.315694","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","124","Standard query response 0xd4c7 A 28.client-channel.google.com A 64.233.184.189"
"35","1.316826","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","136","Standard query response 0xb9ea AAAA 28.client-channel.google.com AAAA 2a00:1450:400c:c0b::bd"
"90","3.483857","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","95","Standard query 0xa776 A ssl.gstatic.com"
"91","3.484951","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","111","Standard query response 0xa776 A ssl.gstatic.com A 172.217.16.131"
"181","3.955349","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","102","Standard query 0x415f A storage.googleapis.com"
"182","3.955490","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","102","Standard query 0x1db2 AAAA storage.googleapis.com"
"183","3.969910","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","160","Standard query response 0x415f A storage.googleapis.com CNAME storage.l.googleusercontent.com A 216.58.205.240"
"184","3.973540","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","172","Standard query response 0x1db2 AAAA storage.googleapis.com CNAME storage.l.googleusercontent.com AAAA 2a00:1450:4001:820::2010"
"318","5.279038","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","96","Standard query 0x71e6 A myip.opendns.com"
"320","5.292795","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","142","Standard query response 0x71e6 No such name A myip.opendns.com SOA auth1.opendns.com"
"323","5.322147","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","104","Standard query 0x72c1 A www.googleadservices.com"
"326","5.333403","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","158","Standard query response 0x72c1 A www.googleadservices.com CNAME pagead.l.doubleclick.net A 172.217.16.130"
"327","5.342343","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","107","Standard query 0x086e A googleads.g.doubleclick.net"
"331","5.355640","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","148","Standard query response 0x086e A googleads.g.doubleclick.net CNAME pagead46.l.doubleclick.net A 172.217.22.2"
"365","5.824018","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","107","Standard query 0xb4fb A googleads.g.doubleclick.net"
"366","5.825505","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","163","Standard query response 0xb4fb A googleads.g.doubleclick.net CNAME pagead46.l.doubleclick.net A 172.217.22.2"
"399","6.899711","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","103","Standard query 0x8e3c A smallbusiness.chron.com"
"400","6.903476","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","96","Standard query 0x23f0 A aps.hearstnp.com"
"401","6.903613","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","104","Standard query 0xf15a A www.google-analytics.com"
"402","6.919371","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","164","Standard query response 0xf15a A www.google-analytics.com CNAME www-google-analytics.l.google.com A 172.217.18.110"
"403","6.924956","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","99","Standard query 0x61fd A nexus.ensighten.com"
"404","6.931078","192.168.1.143","192.168.1.1","DNS","83","Standard query 0x8e3c A smallbusiness.chron.com"
"406","6.934671","192.168.1.143","192.168.1.1","DNS","76","Standard query 0x23f0 A aps.hearstnp.com"
"407","6.942067","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","197","Standard query response 0x61fd A nexus.ensighten.com CNAME nexus-eu-west-1b-1068621658.eu-west-1.elb.amazonaws.com A 52.48.236.247 A 63.33.37.235"
"409","6.947120","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","104","Standard query 0xe2b0 A sb.scorecardresearch.com"
"410","6.953531","192.168.1.1","192.168.1.143","DNS","141","Standard query response 0x23f0 A aps.hearstnp.com CNAME h2.hearst-newspapers.map.fastly.net A 151.101.114.220"
"412","6.957515","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","96","Standard query 0x00f8 A ad.crwdcntrl.net"
"413","6.963022","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","204","Standard query response 0xe2b0 A sb.scorecardresearch.com CNAME sb.scorecardresearch.com.edgekey.net CNAME e1879.e7.akamaiedge.net A 23.221.136.232"
"415","6.966979","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","103","Standard query 0xcfc3 A stats.g.doubleclick.net"
"417","6.978262","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","282","Standard query response 0x00f8 A ad.crwdcntrl.net CNAME td2.crwdcntrl.net CNAME nginx-ad-stackA-674558333.ap-southeast-1.elb.amazonaws.com A 52.220.15.21 A 18.136.163.195 A 3.0.46.1 A 52.77.8.189 A 13.228.244.105 A 52.220.84.78"
"420","6.983307","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","94","Standard query 0xf82e A www.google.com"
"421","6.983487","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","92","Standard query 0xa184 A www.asos.com"
"423","6.987007","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","103","Standard query 0x1874 A assets.asosservices.com"
"424","6.988233","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","189","Standard query response 0xcfc3 A stats.g.doubleclick.net CNAME stats.l.doubleclick.net A 108.177.15.154 A 108.177.15.157 A 108.177.15.156 A 108.177.15.155"
"425","6.991113","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","111","Standard query 0xc6ab A creativeassets.asosservices.com"
"428","6.991541","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","161","Standard query response 0x23f0 A aps.hearstnp.com CNAME h2.hearst-newspapers.map.fastly.net A 151.101.114.220"
"430","6.993505","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","ICMPv6","209","Destination Unreachable (Port unreachable)"
"431","6.993631","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","96","Standard query 0x1b39 A www.google.co.il"
"435","7.000840","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","110","Standard query response 0xf82e A www.google.com A 216.58.207.68"
"437","7.005040","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","109","Standard query 0xae00 A pagead2.googlesyndication.com"
"438","7.006107","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","183","Standard query response 0xa184 A www.asos.com CNAME ev.prod.asos.com.edgekey.net CNAME e2887.b.akamaiedge.net A 23.221.27.39"
"439","7.008338","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","197","Standard query response 0x1874 A assets.asosservices.com CNAME asosservices.com.edgekey.net CNAME e4787.dscx.akamaiedge.net A 23.221.147.210"
"441","7.016230","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","205","Standard query response 0xc6ab A creativeassets.asosservices.com CNAME asosservices.com.edgekey.net CNAME e4787.dscx.akamaiedge.net A 23.221.147.210"
"442","7.017142","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","99","Standard query 0xa2d6 A ci.asosservices.com"
"444","7.017718","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","112","Standard query response 0x1b39 A www.google.co.il A 216.58.206.3"
"449","7.021844","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","104","Standard query 0x7e5b A www.googletagmanager.com"
"450","7.022067","192.168.1.1","192.168.1.143","DNS","244","Standard query response 0x8e3c A smallbusiness.chron.com CNAME smallbusiness.chron.demandmedia.com CNAME smallbusiness.chron.com.edgekey.net CNAME e15489.i.akamaiedge.net A 82.102.180.194 A 82.102.180.210"
"451","7.023520","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","101","Standard query 0x83ec A images.asos-media.com"
"454","7.025975","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","165","Standard query response 0xae00 A pagead2.googlesyndication.com CNAME pagead46.l.doubleclick.net A 172.217.22.2"
"455","7.026538","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","100","Standard query 0x360f A embed.sendtonews.com"
"457","7.027543","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","106","Standard query 0x0aa8 A resources.asosservices.com"
"459","7.031278","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","105","Standard query 0x1ddf A www.googletagservices.com"
"473","7.041968","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","193","Standard query response 0xa2d6 A ci.asosservices.com CNAME asosservices.com.edgekey.net CNAME e4787.dscx.akamaiedge.net A 23.221.147.210"
"479","7.050561","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","164","Standard query response 0x7e5b A www.googletagmanager.com CNAME www-googletagmanager.l.google.com A 172.217.22.72"
"481","7.053066","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","197","Standard query response 0x83ec A images.asos-media.com CNAME images.asos-media.com.edgekey.net CNAME e7721.b.akamaiedge.net A 23.221.135.34"
"485","7.054422","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","102","Standard query 0xb8ca A content.asos-media.com"
"491","7.056518","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","92","Standard query 0x75a5 A cdn.krxd.net"
"492","7.056651","192.168.1.143","192.168.1.1","DNS","80","Standard query 0x360f A embed.sendtonews.com"
"497","7.059308","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","264","Standard query response 0x8e3c A smallbusiness.chron.com CNAME smallbusiness.chron.demandmedia.com CNAME smallbusiness.chron.com.edgekey.net CNAME e15489.i.akamaiedge.net A 82.102.180.194 A 82.102.180.210"
"499","7.061505","192.168.1.169","192.168.1.1","DNS","86","Standard query 0x0aa8 A resources.asosservices.com"
"502","7.061908","192.168.1.143","192.168.1.1","DNS","85","Standard query 0x1ddf A www.googletagservices.com"
"503","7.062379","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","200","Standard query response 0x0aa8 A resources.asosservices.com CNAME asosservices.com.edgekey.net CNAME e4787.dscx.akamaiedge.net A 23.221.147.210"
"506","7.064248","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","161","Standard query response 0x1ddf A www.googletagservices.com CNAME pagead46.l.doubleclick.net A 172.217.23.162"
"510","7.068214","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","97","Standard query 0x5ca2 A consumer.krxd.net"
"511","7.071601","192.168.1.1","192.168.1.169","DNS","183","Standard query response 0x0aa8 A resources.asosservices.com CNAME asosservices.com.edgekey.net CNAME e4787.dscx.akamaiedge.net A 23.221.147.210"
"512","7.074886","192.168.1.1","192.168.1.143","DNS","141","Standard query response 0x1ddf A www.googletagservices.com CNAME pagead46.l.doubleclick.net A 172.217.23.162"
"514","7.077866","192.168.1.143","192.168.1.1","ICMP","169","Destination unreachable (Port unreachable)"
"530","7.082496","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","193","Standard query response 0xb8ca A content.asos-media.com CNAME ev.prod.asos.com.edgekey.net CNAME e2887.b.akamaiedge.net A 23.221.27.39"
"533","7.083472","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","94","Standard query 0xd34f A s.btstatic.com"
"544","7.086238","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","147","Standard query response 0x5ca2 A consumer.krxd.net CNAME c.global-ssl.fastly.net A 151.101.112.175"
"548","7.088325","192.168.1.143","192.168.1.1","DNS","72","Standard query 0x75a5 A cdn.krxd.net"
"553","7.091645","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","94","Standard query 0xb0ad A dpm.demdex.net"
"555","7.093097","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","98","Standard query 0xd2ac A s.thebrighttag.com"
"556","7.093353","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","222","Standard query response 0x75a5 A cdn.krxd.net CNAME cdn-traffic-director.krxd.net CNAME cdn-fastly.krxd.net CNAME cdn-fastly.krxd.net.c.global-ssl.fastly.net A 151.101.12.175"
"557","7.093509","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","95","Standard query 0xb5f8 A trc.taboola.com"
"559","7.096696","192.168.1.1","192.168.1.143","DNS","221","Standard query response 0x75a5 A cdn.krxd.net CNAME cdn-traffic-director.krxd.net CNAME cdn-fastly.krxd.net CNAME cdn-fastly.krxd.net.c.global-ssl.fastly.net A 151.101.12.175"
"564","7.100647","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","98","Standard query 0x7565 A images.taboola.com"
"570","7.108160","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","180","Standard query response 0xd34f A s.btstatic.com CNAME s.btstatic.edgekey.net CNAME e12690.f.akamaiedge.net A 95.100.76.185"
"586","7.122105","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","325","Standard query response 0xb0ad A dpm.demdex.net CNAME gslb.demdex.net CNAME irl1.demdex.net CNAME dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com A 34.249.86.253 A 54.194.25.183 A 54.246.133.167 A 34.250.76.236 A 52.16.89.247 A 34.241.198.89 A 34.247.143.160 A 34.243.36.162"
"590","7.125362","192.168.1.169","192.168.1.1","DNS","74","Standard query 0xb0ad A dpm.demdex.net"
"591","7.125506","192.168.1.169","192.168.1.1","DNS","78","Standard query 0xd2ac A s.thebrighttag.com"
"595","7.129880","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","314","Standard query response 0xd2ac A s.thebrighttag.com CNAME td.thebrighttag.com CNAME test-alb-ap2-vip-1393809562.ap-northeast-1.elb.amazonaws.com A 54.65.207.182 A 54.249.23.88 A 54.65.47.56 A 54.249.136.54 A 54.249.121.214 A 54.64.189.221 A 54.65.242.14 A 13.112.16.248"
"596","7.130365","192.168.1.143","192.168.1.1","DNS","75","Standard query 0xb5f8 A trc.taboola.com"
"597","7.131619","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","132","Standard query response 0x360f A embed.sendtonews.com A 54.243.34.75 A 54.243.168.220"
"598","7.133087","192.168.1.143","192.168.1.1","DNS","78","Standard query 0x7565 A images.taboola.com"
"599","7.133257","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","150","Standard query response 0xb5f8 A trc.taboola.com CNAME f2.taboola.map.fastly.net A 151.101.14.2"
"604","7.135505","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","153","Standard query response 0x7565 A images.taboola.com CNAME f2.taboola.map.fastly.net A 151.101.114.2"
"608","7.140926","192.168.1.1","192.168.1.143","DNS","130","Standard query response 0xb5f8 A trc.taboola.com CNAME f2.taboola.map.fastly.net A 151.101.114.2"
"613","7.143972","192.168.1.1","192.168.1.143","DNS","133","Standard query response 0x7565 A images.taboola.com CNAME f2.taboola.map.fastly.net A 151.101.114.2"
"614","7.145701","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","99","Standard query 0xf83f A img-aws.ehowcdn.com"
"615","7.145844","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","93","Standard query 0x2573 A www.chron.com"
"619","7.147149","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","112","Standard query 0xd7af A dfapvmql-q.global.ssl.fastly.net"
"621","7.147600","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","102","Standard query 0xfa59 A adservice.google.co.il"
"647","7.162240","192.168.1.1","192.168.1.169","DNS","305","Standard query response 0xb0ad A dpm.demdex.net CNAME gslb.demdex.net CNAME irl1.demdex.net CNAME dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com A 54.194.25.183 A 34.250.76.236 A 52.16.89.247 A 34.249.86.253 A 54.246.133.167 A 34.247.143.160 A 34.241.198.89 A 34.243.36.162"
"654","7.165889","192.168.1.1","192.168.1.143","DNS","112","Standard query response 0x360f A embed.sendtonews.com A 54.243.168.220 A 54.243.34.75"
"664","7.172787","192.168.1.1","192.168.1.169","DNS","294","Standard query response 0xd2ac A s.thebrighttag.com CNAME td.thebrighttag.com CNAME test-alb-ap2-vip-1393809562.ap-northeast-1.elb.amazonaws.com A 54.249.121.214 A 52.69.211.238 A 52.199.103.68 A 54.249.23.88 A 13.114.81.243 A 54.249.136.54 A 52.197.232.184 A 13.114.139.199"
"670","7.177078","192.168.1.143","192.168.1.1","DNS","73","Standard query 0x2573 A www.chron.com"
"671","7.177202","192.168.1.143","192.168.1.1","DNS","79","Standard query 0xf83f A img-aws.ehowcdn.com"
"673","7.180944","192.168.1.143","192.168.1.1","DNS","82","Standard query 0xfa59 A adservice.google.co.il"
"675","7.181624","192.168.1.169","192.168.1.1","DNS","92","Standard query 0xd7af A dfapvmql-q.global.ssl.fastly.net"
"677","7.191432","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","158","Standard query response 0x2573 A www.chron.com CNAME h2.hearst-newspapers.map.fastly.net A 151.101.114.220"
"683","7.207316","192.168.1.1","192.168.1.143","DNS","138","Standard query response 0xfa59 A adservice.google.co.il CNAME pagead46.l.doubleclick.net A 172.217.21.226"
"685","7.208986","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","158","Standard query response 0xfa59 A adservice.google.co.il CNAME pagead46.l.doubleclick.net A 172.217.22.2"
"686","7.209996","192.168.1.1","192.168.1.169","DNS","108","Standard query response 0xd7af A dfapvmql-q.global.ssl.fastly.net A 151.101.113.194"
"688","7.221732","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","108","Standard query 0x28e4 A mip.api.mcafeewebadvisor.com"
"689","7.224313","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","fdc6:e1e:fc4c::1","DNS","108","Standard query 0xb93b AAAA mip.api.mcafeewebadvisor.com"
"691","7.226622","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","197","Standard query response 0xf83f A img-aws.ehowcdn.com CNAME san.www.demandmedia.com.edgekey.net CNAME e3087.g.akamaiedge.net A 23.221.133.151"
"700","7.237788","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","231","Standard query response 0x28e4 A mip.api.mcafeewebadvisor.com CNAME WACloudLB-1801077940.us-east-1.elb.amazonaws.com A 54.165.123.193 A 35.172.248.235 A 52.44.81.138 A 52.87.18.111"
"716","7.244236","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","249","Standard query response 0xb93b AAAA mip.api.mcafeewebadvisor.com CNAME WACloudLB-1801077940.us-east-1.elb.amazonaws.com SOA ns-1119.awsdns-11.org"
"723","7.258519","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:30af:4b64:3d03:d50a","DNS","128","Standard query response 0xd7af A dfapvmql-q.global.ssl.fastly.net A 151.101.113.194"
"732","7.272212","192.168.1.1","192.168.1.143","DNS","138","Standard query response 0x2573 A www.chron.com CNAME h2.hearst-newspapers.map.fastly.net A 151.101.14.220"
"733","7.275307","192.168.1.1","192.168.1.143","DNS","177","Standard query response 0xf83f A img-aws.ehowcdn.com CNAME san.www.demandmedia.com.edgekey.net CNAME e3087.g.akamaiedge.net A 23.221.133.151"
"1042","8.837013","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","95","Standard query 0xf590 A portforward.com"
"1043","8.838470","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","fdc6:e1e:fc4c::1","DNS","100","Standard query 0xbdc4 A cdnjs.cloudflare.com"
"1044","8.850021","fdc6:e1e:fc4c::1","fdc6:e1e:fc4c:0:65fb:5621:1f67:c9fa","DNS","127","Standard query response 0xf590 A portforward.com A 104.25.215.115 A 104.25.216.115"
